"date","year","month","quarter","day_of_week","day_of_month","week_of_year","is_weekend","is_month_end","is_month_start","gdp_index","unemployment_rate","consumer_confidence","stock_market_index","temperature","precipitation","weather_severity_index","marketing_spend","email_campaigns_sent","social_media_impressions","influencer_collaborations","tv_ad_spend","competitor_price_index","shipping_cost_index","inventory_availability_rate","website_traffic","page_load_time_ms","mobile_traffic_pct","site_downtime_minutes","new_product_launches","daily_sales","order_count","avg_order_value","unique_customers","return_rate_pct","customer_acquisition_cost"
2019-02-09,2019,2,1,"Saturday",9,6,1,0,0,98.1107537588375,12.1923336554409,82.5275815359628,2942.39224612363,89.8504594010096,0,5,19020,1,972965,0,9455,106.745226255981,87.2877227670553,90.2,253243,1243,66,7,0,27815,423,65.76,243,5.3,260.91
2019-02-10,2019,2,1,"Sunday",10,6,1,0,0,98.3180047649382,12.1240365695637,80.2904669154325,2953.24818840042,66.7304069233984,0,3,23074,2,577629,0,2673,106.046349851316,85.5743011289055,87,272700,1278,58,5,0,30782,346,88.97,233,14.7,330.1
2019-02-11,2019,2,1,"Monday",11,6,0,0,0,97.8667474684823,12.1006063721067,84.2341218030685,2958.52915417735,82.8814689043322,0,1,14887,0,1909362,0,4154,105.85568252519,87.1083529981142,94.3,243257,1722,57,0,0,23582,308,76.56,204,3.6,243.25
2019-02-12,2019,2,1,"Tuesday",12,7,0,0,0,97.6472064801917,12.1056539338899,88.5358033206725,2917.20998535859,84.1068369552447,0.176993634726918,2,8212,1,1450859,0,1229,104.703329479763,88.1472776097809,87.6,355607,1387,62,8,0,19838,225,88.17,133,13.9,205.81
2019-02-13,2019,2,1,"Wednesday",13,7,0,0,0,97.1392559329077,11.8947787526691,90.8354843222687,2913.2182709446,86.2180248037524,0,9,20765,1,480427,1,6929,105.867593379402,88.5733148090162,96.9,311619,2660,60,4,0,24120,272,88.68,223,10.5,310.39
2019-02-14,2019,2,1,"Thursday",14,7,0,0,0,97.424859883037,11.7715080220548,90.5466473636636,2892.92901433442,97.3374539600706,0.350185682243825,2,20041,2,1716461,0,9112,105.840373147456,89.2410977376353,86.3,319109,1722,67,8,0,27485,377,72.9,266,13.3,251.14
2019-02-15,2019,2,1,"Friday",15,7,0,0,0,97.4022028457018,11.7842501570677,90.051196020651,2869.02608074981,81.4240582679625,0.248721858218189,4,7448,2,610185,0,3790,106.125897914729,88.8223967996274,95.6,137239,3329,71,3,0,22803,262,87.03,233,8.6,106.55
2019-02-16,2019,2,1,"Saturday",16,7,1,0,0,96.773404841636,11.7948342957484,85.553674942179,2876.33581807535,85.716003437371,0.360497942877994,8,15504,2,786742,0,6485,105.766334995267,88.5276884481777,89.1,183479,2462,63,4,0,25741,298,86.38,174,10.8,297.01
2019-02-17,2019,2,1,"Sunday",17,7,1,0,0,97.0639106270021,11.7434153828966,89.0740768114724,2842.64236517043,74.2274802673052,0.697353530963217,9,17520,2,335908,1,12205,104.422837532499,89.1850657685592,90,261272,1732,46,5,0,26231,306,85.72,237,14.7,246.41
2019-02-18,2019,2,1,"Monday",18,7,0,0,0,96.76443497869,11.5125115545448,85.5429532434384,2853.82185453462,87.9290921997857,0.2377348842236,5,20407,1,1069975,1,8057,105.720207698127,87.8851413518271,94.1,223845,3004,69,0,0,22682,253,89.65,182,6.9,373.75
2019-02-19,2019,2,1,"Tuesday",19,8,0,0,0,96.1096961518686,11.4827001524467,87.387828923726,2827.92255912839,78.1871112001293,0.476122160461119,10,19044,2,1706089,0,10875,107.184599986952,87.5896981170281,89.5,95850,3365,72,4,0,22857,251,91.06,206,5.5,308.16
2019-02-20,2019,2,1,"Wednesday",20,8,0,0,0,96.4031143267324,11.4641910952355,87.7544081620561,2819.57626888361,80.4167332308818,0.294226692806542,2,17193,3,1332107,0,13179,106.849221816185,88.4659288870581,85.8,369091,2244,52,2,1,25111,294,85.41,169,9.4,339.11
2019-02-21,2019,2,1,"Thursday",21,8,0,0,0,96.4213014369223,11.5211522359203,89.0462999932727,2818.38726534232,79.9530916905473,0.084240272391514,3,21238,1,756947,0,5717,106.639742013592,88.2344021354464,91.6,485502,1755,51,7,0,23166,339,68.34,216,11.8,327.75
2019-02-22,2019,2,1,"Friday",22,8,0,0,0,96.3257617713651,11.493933911422,91.0980325175489,2829.68826338466,82.0173721725739,0.311855119194446,1,19668,2,124048,0,10041,106.036833544981,89.2554722022897,88.4,178744,3472,67,4,0,26036,303,85.93,247,11.6,265.43
2019-02-23,2019,2,1,"Saturday",23,8,1,0,0,96.5745111412018,11.4656069445834,90.1357683583679,2886.77783700956,86.6562030943005,0,5,12126,1,631438,0,9220,106.350674837229,90.9161787637308,98.6,396423,2780,52,2,0,22322,332,67.23,261,11.7,154.87
2019-02-24,2019,2,1,"Sunday",24,8,1,0,0,96.3369356543068,11.5197888861678,91.9311248917571,2842.48792905639,77.1564743678339,0.312908103920486,3,21263,8,1662314,0,12157,106.470813551512,90.0609528034404,93.9,193782,3331,74,5,0,29163,321,90.85,240,12.3,295.32
2019-02-25,2019,2,1,"Monday",25,8,0,0,0,95.6826324734503,11.2031602498685,95.0317433658522,2863.98069340368,93.7929767134328,0.0752737292167749,8,23821,1,964096,0,613,105.95260340624,89.2577846173485,93.6,452454,2792,46,6,0,22477,273,82.33,233,9.7,340.79
2019-02-26,2019,2,1,"Tuesday",26,9,0,0,0,95.4675363066148,11.2098046566933,94.5518896255537,2872.69400376751,92.1984490454514,0.0987926314386011,3,20762,2,1758457,1,11555,104.574761078101,89.6960994265306,97.4,414476,1124,62,5,0,24218,283,85.58,176,10.3,393.22
2019-02-27,2019,2,1,"Wednesday",27,9,0,0,0,94.9266155277118,11.1714980113449,92.9981155315955,2826.30292856203,93.9380932197092,0.0789782731214113,2,6780,1,1049771,0,11313,102.938932061553,90.7336690427097,89.2,448042,1098,52,3,0,19158,203,94.37,125,10.5,180.8
2019-02-28,2019,2,1,"Thursday",28,9,0,1,0,94.8768401732861,11.1434890289873,91.0749054447479,2792.77242878921,86.5395673697771,0.382361206232651,0,14758,0,1556421,0,8345,102.280627130744,90.157261360426,86.1,290221,2361,58,2,0,22233,265,83.9,179,11.9,274.82
2019-03-01,2019,3,1,"Friday",1,9,0,0,1,95.8503524262106,11.0859638679269,90.4588998621534,2800.04831732713,84.5416032909908,0.647093496886485,9,8545,2,1559467,0,3119,101.8761869911,90.2338317828006,89.4,175296,2911,56,8,0,25802,393,65.65,228,4.2,124.93
2019-03-02,2019,3,1,"Saturday",2,9,1,0,1,95.3183951408209,11.026539564798,91.4072358221169,2781.7611385008,76.7441329981016,0.374936423056497,6,7019,4,1402915,0,9662,101.494724208186,90.6042926604459,88.7,408799,3203,45,3,0,25037,272,92.05,156,7.9,149.98
2019-03-03,2019,3,1,"Sunday",3,9,1,0,1,95.9894715331003,11.198414515315,92.4443229449186,2788.26543896226,74.8801879193704,0.174022793135249,9,22354,1,409242,1,12682,102.250612637188,91.3604604081525,93.9,220097,2493,48,5,0,27145,333,81.52,247,14.1,301.67
2019-03-04,2019,3,1,"Monday",4,9,0,0,0,95.9731705626256,11.3223553695634,91.6628953399409,2763.03059906852,80.2358852695592,0,3,16697,1,226093,0,9240,101.804927173246,89.4550557135289,94.6,254245,1668,63,9,0,22845,250,91.38,146,7.9,381.21
2019-03-05,2019,3,1,"Tuesday",5,10,0,0,0,95.5871047608859,11.2558594040501,94.1431948464435,2792.51911068315,96.048531306996,0.262584089940342,4,12341,2,1529648,0,12200,101.516028406737,90.5306054382016,95.6,175210,1118,62,8,0,23585,295,79.95,204,2.3,201.65
2019-03-06,2019,3,1,"Wednesday",6,10,0,0,0,95.364670044906,11.308567994512,92.0522099668917,2793.20262032241,90.1235776936779,0.476634889737956,2,22720,1,1142235,1,4507,100.719314823033,92.9455788886143,88.8,318983,2945,49,8,0,27044,315,85.85,232,12.7,326.44
2019-03-07,2019,3,1,"Thursday",7,10,0,0,0,95.4611091784874,11.3093956053309,97.6845441025188,2731.73256421393,97.7568678968078,0,7,11373,0,774934,0,14795,100.707604725209,92.470980317764,97.3,116577,3283,52,2,0,22783,264,86.3,149,13.8,254.43
2019-03-08,2019,3,1,"Friday",8,10,0,0,0,96.1207255934627,11.3785232819252,97.6806042769286,2741.71893073992,93.1576572887944,0.301043710907386,9,24603,3,574673,1,8299,100.689679043396,92.7833331741815,93.5,57343,2312,56,3,0,30064,390,77.09,277,14.7,296.06
2019-03-09,2019,3,1,"Saturday",9,10,1,0,0,95.8143410324958,11.4151072009507,98.206188005575,2734.43978539834,81.4201636339635,0.2140961076868,4,19367,3,1337886,0,9056,100.477890249848,94.5546783392114,95,411419,2780,57,2,0,26419,279,94.69,195,9.4,331.06
2019-03-10,2019,3,1,"Sunday",10,10,1,0,0,95.3127970302468,11.3116088145446,96.1449740068108,2762.35646366225,74.5666572354119,0.0017975184455901,4,5815,2,332653,0,4945,101.522311183661,94.8004174128741,85.1,147980,2525,51,5,0,24234,262,92.5,147,9.5,131.86
2019-03-11,2019,3,1,"Monday",11,10,0,0,0,96.0210046254906,11.1869547949852,97.9179798567973,2788.59755977448,86.6170307130648,0.153379833263173,6,19097,2,341283,0,8862,101.684535290788,95.6055114868102,87.4,82000,3312,69,6,1,23046,275,83.8,171,4.7,372.26
2019-03-12,2019,3,1,"Tuesday",12,11,0,0,0,95.7528269028334,11.1107793344656,94.4933187952825,2729.3391468449,91.8393473836454,0.330728473377334,6,21032,1,1478855,0,695,100.848518857038,96.1728312603044,86.3,447205,2218,64,3,0,23982,316,75.89,237,7,295.81
2019-03-13,2019,3,1,"Wednesday",13,11,0,0,0,95.676015463487,10.8476901011133,97.0455953632425,2705.25434846835,84.0471649514102,0.019351117917532,4,12911,2,309337,0,3470,99.8856991204535,95.9731295134086,85.9,60363,1125,70,7,0,22931,290,79.07,193,9.4,222.99
2019-03-14,2019,3,1,"Thursday",14,11,0,0,0,95.0555391521637,11.1262265213921,97.146376053344,2660.38996216297,91.2452541209746,0,4,10174,2,1336341,0,5692,99.8913424647751,95.3005097976067,98.6,284035,3342,73,4,0,22797,347,65.7,211,6.3,160.73
2019-03-15,2019,3,1,"Friday",15,11,0,0,0,94.7707379809179,10.9998932006353,92.8499588742311,2613.63763655911,93.6688477293316,0,10,9451,1,666388,0,12003,100.520902165883,96.577438391559,86.9,463945,2718,59,4,0,22233,293,75.88,223,11.6,141.27
2019-03-16,2019,3,1,"Saturday",16,11,1,0,0,94.5542298484228,10.8820707471524,90.5778287933406,2631.94946680153,86.848114107749,0,10,20838,1,794544,1,10013,100.376161440961,95.8130244656235,96.3,140074,2665,68,3,0,28223,398,70.91,361,8.1,192.41
2019-03-17,2019,3,1,"Sunday",17,11,1,0,0,93.6769074797612,11.0899833186753,89.065387364018,2642.46228886668,81.1300462178059,0.216732710655666,4,19998,3,1094490,1,3367,101.369925980296,94.7832167553218,86.2,215204,3378,56,8,1,27104,322,84.17,237,3.8,281.27
2019-03-18,2019,3,1,"Monday",18,11,0,0,0,94.0640858338748,11.0233938956259,89.6447316545672,2681.4379226911,82.5129934162967,0.0817772731820985,2,8608,2,245038,1,9962,101.53061599683,95.1610378800241,93.1,440029,2289,68,7,0,22654,240,94.39,158,2.6,181.6
2019-03-19,2019,3,1,"Tuesday",19,12,0,0,0,93.6567475852832,11.1165799203753,90.4668977754181,2691.80988418206,85.7890471235114,0.171441429495631,1,16017,4,1693696,0,1508,102.073117834396,93.6481537881522,90.4,205560,986,67,5,0,26155,382,68.47,229,12.7,233.14
2019-03-20,2019,3,1,"Wednesday",20,12,0,0,0,93.1377167509228,11.1651693705868,86.70008757036,2705.51926023343,79.6229919448674,0,4,7879,4,771076,0,934,103.309960361798,91.1961590749314,94.7,457423,2996,68,2,0,23266,285,81.64,237,11.1,110.82
2019-03-21,2019,3,1,"Thursday",21,12,0,0,0,92.9191713777001,11.3340819915783,87.4418052346997,2729.11973418973,77.234071316284,0,9,12020,1,128006,0,4917,103.231056650782,91.169455469625,85.9,92227,2716,54,2,0,19827,276,71.84,178,3.4,225.09
2019-03-22,2019,3,1,"Friday",22,12,0,0,0,93.2961290642233,11.4884160672915,87.9717817261008,2675.68203681712,87.8492426939275,0.169554441465432,8,9636,3,1339854,0,12289,104.655464753168,92.2348763773883,93.9,181693,2515,47,7,0,23998,298,80.53,263,8.8,122.13
2019-03-23,2019,3,1,"Saturday",23,12,1,0,0,93.2185662867731,11.3214530410645,89.2323862167133,2678.95071693419,79.2752209754406,0.1941909193182,6,12483,2,582882,0,7113,104.201758596404,92.1212342012336,86,80902,3070,46,3,0,24659,297,83.03,188,12,221.33
2019-03-24,2019,3,1,"Sunday",24,12,1,0,0,93.3439757785997,11.3126300651304,85.2651925089365,2659.40676743735,88.0250864577116,0.316228362804417,8,6962,0,626547,1,8158,102.70056575493,91.7945324664347,87,100771,2295,55,3,0,21172,278,76.16,203,3.2,114.32
2019-03-25,2019,3,1,"Monday",25,12,0,0,0,93.7491245256738,11.2912114990453,87.3624359819454,2672.875397028,81.8276535396537,0,5,19483,0,255544,0,6595,102.535025359578,91.3361338564243,86.6,430821,2917,73,10,0,20697,283,73.13,160,4.3,405.9
2019-03-26,2019,3,1,"Tuesday",26,13,0,0,0,94.0860797787285,11.1714563710667,86.3543808887365,2668.67811152379,73.7683164829917,0,8,16561,1,765266,0,11880,101.674956725521,90.7427353794587,96.2,245279,2479,45,9,0,22888,310,73.83,195,13.2,283.09
2019-03-27,2019,3,1,"Wednesday",27,13,0,0,0,94.6322527963091,11.2081642416661,84.7571649094442,2685.97011743519,56.9145823158478,0.128898751989533,9,11529,1,615661,0,6690,102.32605454394,88.8164792274153,97.9,137199,1379,64,6,0,19409,256,75.82,184,9,208.86
2019-03-28,2019,3,1,"Thursday",28,13,0,1,0,95.0115612097955,11.1816915865293,86.2063672702253,2649.0224256586,66.0688249878333,0.428705793178576,9,16902,2,1318537,0,8573,101.445118622779,86.1602851683658,90.7,487230,1385,57,6,1,24131,256,94.26,156,2.9,361.15
2019-03-29,2019,3,1,"Friday",29,13,0,1,0,94.6389326713948,11.17927259435,84.4509136522259,2686.83632802005,89.2506666659558,0.46456249659083,8,13393,3,986480,0,10031,101.120700522296,86.7826082136446,95.8,85759,2253,54,6,0,25576,292,87.59,192,14.3,232.52
2019-03-30,2019,3,1,"Saturday",30,13,1,1,0,95.0748427237243,11.1555846162058,81.3011476941455,2721.24144698978,73.537504436705,0.360015856413171,9,7444,1,1616790,0,9738,101.382605413571,87.5153434099492,92.8,413502,2839,61,4,0,24267,279,86.98,156,6.6,159.06
2019-03-31,2019,3,1,"Sunday",31,13,1,1,0,94.8040847160415,11.0382182276251,82.1870044725952,2707.54769117733,84.6604039813813,0.260573818947086,1,20971,2,1035492,0,12832,102.404776236761,87.4063209995263,97.4,229834,1213,69,4,0,29252,356,82.17,202,14.1,346.06
2019-04-01,2019,4,2,"Monday",1,13,0,0,1,95.3554205955346,10.88821559631,82.3695859866861,2742.82297015599,80.7593186554344,0.2433930073822,2,5781,3,1257315,0,9202,101.228631982861,86.8865416247604,95,176177,2337,61,3,1,18040,212,85.09,121,13,159.26
2019-04-02,2019,4,2,"Tuesday",2,14,0,0,1,95.0951056720728,10.7293453952691,85.7408645729176,2775.43150311251,81.9179122230393,0,8,18788,1,1195853,0,12841,100.233989610134,86.6598595630713,96,285210,1833,52,8,0,24649,262,94.08,219,5.5,285.97
2019-04-03,2019,4,2,"Wednesday",3,14,0,0,1,95.4360928938718,10.6853194871919,85.2818580238638,2799.98594797903,87.527774011261,0.163131753153815,2,19342,1,140329,0,5999,100.77274868232,86.8483671420828,95.6,449228,2884,75,8,0,25650,287,89.37,240,5.4,268.64
2019-04-04,2019,4,2,"Thursday",4,14,0,0,0,95.016560901007,10.8178503257903,82.0417957899114,2773.65351273468,83.2347593085412,0.626112362180791,4,9355,1,1102170,0,12095,100.311027410468,86.8778905771377,96.8,201396,819,49,8,1,23527,285,82.55,197,3.1,158.29
2019-04-05,2019,4,2,"Friday",5,14,0,0,0,94.8113517108141,10.8021239664598,81.6984745131884,2818.96037275125,80.0759853367307,0.189947820450262,0,9814,3,375099,0,13392,100.333850266662,87.8484880535864,85.4,367435,1182,55,2,0,26239,358,73.29,247,14.8,132.44
